,corruption,level,method,acc,ll
514,gaussian_noise,5,BN,0.21276,-4.394394
515,shot_noise,5,Baseline,0.05614,-9.235824
516,shot_noise,5,SM (Full),0.3003,-3.779127
517,shot_noise,5,BN,0.23084,-4.3729844
518,impulse_noise,5,Baseline,0.0474,-8.998858
519,impulse_noise,5,SM (Full),0.23962,-4.2936287
520,impulse_noise,5,BN,0.21988,-4.3012705
521,defocus_blur,5,Baseline,0.17912,-4.684313
522,defocus_blur,5,SM (Full),0.23026,-4.3035374
523,defocus_blur,5,BN,0.17604,-4.633177
524,glass_blur,5,Baseline,0.08922,-6.274812
525,glass_blur,5,SM (Full),0.16928,-4.8427963
526,glass_blur,5,BN,0.1695,-4.688305
527,motion_blur,5,Baseline,0.1167,-6.0999613
528,motion_blur,5,SM (Full),0.5444,-2.055487
529,motion_blur,5,BN,0.43572,-2.6802828
530,zoom_blur,5,Baseline,0.21884,-4.8133125
531,zoom_blur,5,SM (Full),0.5849,-1.8387803
532,zoom_blur,5,BN,0.44204,-2.6349692
533,snow,5,Baseline,0.18872,-5.621557
534,snow,5,SM (Full),0.44626,-2.7159948
535,snow,5,BN,0.39994,-3.0318155
536,frost,5,Baseline,0.26412,-4.5573997
537,frost,5,SM (Full),0.41822,-2.9466386
538,frost,5,BN,0.39888,-3.0777442
539,fog,5,Baseline,0.42872,-2.94009
540,fog,5,SM (Full),0.63932,-1.559454
541,fog,5,BN,0.63428,-1.5701402
542,brightness,5,Baseline,0.58176,-1.9038479
543,brightness,5,SM (Full),0.65982,-1.4559747
544,brightness,5,BN,0.65964,-1.4448003
545,contrast,5,Baseline,0.07978,-6.289021
546,contrast,5,SM (Full),0.54616,-2.0573456
547,contrast,5,BN,0.3659,-3.2267144
548,elastic_transform,5,Baseline,0.1729,-5.7806597
549,elastic_transform,5,SM (Full),0.48844,-2.4375553
550,elastic_transform,5,BN,0.47902,-2.5034745
551,pixelate,5,Baseline,0.51598,-2.2651615
552,pixelate,5,SM (Full),0.43576,-2.744997
553,pixelate,5,BN,0.56312,-1.9284769
554,jpeg_compression,5,Baseline,0.44362,-2.7747009
555,jpeg_compression,5,SM (Full),0.50362,-2.3074331
556,jpeg_compression,5,BN,0.47508,-2.4697847
557,gaussian_blur,5,Baseline,0.13176,-5.402998
558,gaussian_blur,5,SM (Full),0.15182,-5.092942
559,gaussian_blur,5,BN,0.11816,-5.216315
