,corruption,level,method,acc,ll
100,glass_blur,2,SM 5000,0.54458,-2.067459
101,motion_blur,2,SM 5000,0.7054,-1.2425653
102,zoom_blur,2,SM 5000,0.65366,-1.4759903
103,snow,2,SM 5000,0.54072,-2.1201034
104,frost,2,SM 5000,0.56132,-2.0259318
105,fog,2,SM 5000,0.7107,-1.2100198
106,brightness,2,SM 5000,0.72312,-1.15381
107,contrast,2,SM 5000,0.7209,-1.1595091
108,elastic_transform,2,SM 5000,0.51468,-2.3936322
109,pixelate,2,SM 5000,0.71004,-1.2113185
110,jpeg_compression,2,SM 5000,0.67278,-1.3870561
111,gaussian_blur,2,SM 5000,0.59434,-1.7915771
112,gaussian_noise,3,SM 5000,0.53258,-2.1509044
113,shot_noise,3,SM 5000,0.53822,-2.133069
114,impulse_noise,3,SM 5000,0.50364,-2.3256645
115,defocus_blur,3,SM 5000,0.43838,-2.730457
116,glass_blur,3,SM 5000,0.34778,-3.3364263
117,motion_blur,3,SM 5000,0.66152,-1.4382476
118,zoom_blur,3,SM 5000,0.63442,-1.5704662
119,snow,3,SM 5000,0.53386,-2.1696415
120,frost,3,SM 5000,0.4815,-2.5124803
121,fog,3,SM 5000,0.69492,-1.2745545
122,brightness,3,SM 5000,0.70928,-1.2228959
123,contrast,3,SM 5000,0.70828,-1.2162963
124,elastic_transform,3,SM 5000,0.67956,-1.3581684
125,pixelate,3,SM 5000,0.6547,-1.4759412
126,jpeg_compression,3,SM 5000,0.65474,-1.4783643
127,gaussian_blur,3,SM 5000,0.43246,-2.7613368
128,gaussian_noise,4,SM 5000,0.41216,-2.9298508
129,shot_noise,4,SM 5000,0.39708,-3.0361493
130,impulse_noise,4,SM 5000,0.3746,-3.2010834
131,defocus_blur,4,SM 5000,0.3218,-3.5494075
132,glass_blur,4,SM 5000,0.27312,-3.907391
133,motion_blur,4,SM 5000,0.597,-1.7805917
134,zoom_blur,4,SM 5000,0.60762,-1.7145996
135,snow,4,SM 5000,0.44764,-2.6953943
136,frost,4,SM 5000,0.47094,-2.5951896
137,fog,4,SM 5000,0.68028,-1.3505604
138,brightness,4,SM 5000,0.68874,-1.3229178
139,contrast,4,SM 5000,0.6667,-1.4265181
140,elastic_transform,4,SM 5000,0.63456,-1.5890794
141,pixelate,4,SM 5000,0.52212,-2.1866128
142,jpeg_compression,4,SM 5000,0.59546,-1.7944821
143,gaussian_blur,4,SM 5000,0.30742,-3.6880224
144,gaussian_noise,5,SM 5000,0.24806,-4.18192
145,shot_noise,5,SM 5000,0.29728,-3.79774
146,impulse_noise,5,SM 5000,0.2371,-4.3042235
147,defocus_blur,5,SM 5000,0.22756,-4.322284
148,glass_blur,5,SM 5000,0.16702,-4.869547
149,motion_blur,5,SM 5000,0.54272,-2.0749779
150,zoom_blur,5,SM 5000,0.58262,-1.8508586
151,snow,5,SM 5000,0.44556,-2.7235317
152,frost,5,SM 5000,0.41644,-2.9615343
153,fog,5,SM 5000,0.6385,-1.5658078
154,brightness,5,SM 5000,0.6585,-1.4647796
155,contrast,5,SM 5000,0.54552,-2.065659
156,elastic_transform,5,SM 5000,0.48594,-2.4525144
157,pixelate,5,SM 5000,0.43372,-2.7606962
158,jpeg_compression,5,SM 5000,0.50214,-2.3140678
159,gaussian_blur,5,SM 5000,0.15124,-5.112431
160,gaussian_noise,1,SM 10000,0.67636,-1.3790869
161,shot_noise,1,SM 10000,0.67518,-1.3842237
162,impulse_noise,1,SM 10000,0.6228,-1.6468339
163,defocus_blur,1,SM 10000,0.66826,-1.4207162
164,glass_blur,1,SM 10000,0.64776,-1.5079588
165,motion_blur,1,SM 10000,0.7265,-1.1438353
166,zoom_blur,1,SM 10000,0.68504,-1.3315912
167,snow,1,SM 10000,0.63802,-1.5726213
168,frost,1,SM 10000,0.65904,-1.4820968
169,fog,1,SM 10000,0.71724,-1.1706687
170,brightness,1,SM 10000,0.73302,-1.1071123
171,contrast,1,SM 10000,0.72814,-1.1292201
172,elastic_transform,1,SM 10000,0.68636,-1.329788
173,pixelate,1,SM 10000,0.7249,-1.1471195
174,jpeg_compression,1,SM 10000,0.69672,-1.2702277
175,gaussian_blur,1,SM 10000,0.72442,-1.1501698
176,gaussian_noise,2,SM 10000,0.62248,-1.6501472
177,shot_noise,2,SM 10000,0.61628,-1.6834725
178,impulse_noise,2,SM 10000,0.55826,-1.9900665
179,defocus_blur,2,SM 10000,0.5966,-1.7885019
180,glass_blur,2,SM 10000,0.54624,-2.0550692
181,motion_blur,2,SM 10000,0.70644,-1.2373756
182,zoom_blur,2,SM 10000,0.65508,-1.4695219
183,snow,2,SM 10000,0.54256,-2.1130984
184,frost,2,SM 10000,0.56258,-2.0187738
185,fog,2,SM 10000,0.71178,-1.2074281
186,brightness,2,SM 10000,0.72412,-1.1498909
187,contrast,2,SM 10000,0.72138,-1.1561308
188,elastic_transform,2,SM 10000,0.51434,-2.3867636
189,pixelate,2,SM 10000,0.71246,-1.206117
190,jpeg_compression,2,SM 10000,0.67284,-1.381676
191,gaussian_blur,2,SM 10000,0.59628,-1.7836921
192,gaussian_noise,3,SM 10000,0.5334,-2.1428843
193,shot_noise,3,SM 10000,0.53946,-2.1248941
194,impulse_noise,3,SM 10000,0.50532,-2.316107
195,defocus_blur,3,SM 10000,0.43976,-2.718434
196,glass_blur,3,SM 10000,0.35066,-3.3199263
197,motion_blur,3,SM 10000,0.66396,-1.4319631
198,zoom_blur,3,SM 10000,0.63526,-1.5635053
199,snow,3,SM 10000,0.53478,-2.163796
200,frost,3,SM 10000,0.48354,-2.5042496
201,fog,3,SM 10000,0.69512,-1.2716731
202,brightness,3,SM 10000,0.71026,-1.2185088
203,contrast,3,SM 10000,0.70882,-1.2124718
204,elastic_transform,3,SM 10000,0.6809,-1.3524386
205,pixelate,3,SM 10000,0.65534,-1.4692667
206,jpeg_compression,3,SM 10000,0.65514,-1.4726685
207,gaussian_blur,3,SM 10000,0.43472,-2.7503846
208,gaussian_noise,4,SM 10000,0.41348,-2.9191413
209,shot_noise,4,SM 10000,0.39862,-3.0258756
210,impulse_noise,4,SM 10000,0.37632,-3.1881053
211,defocus_blur,4,SM 10000,0.32402,-3.536301
212,glass_blur,4,SM 10000,0.27464,-3.8937674
213,motion_blur,4,SM 10000,0.59686,-1.7724862
214,zoom_blur,4,SM 10000,0.6096,-1.7071309
215,snow,4,SM 10000,0.4486,-2.6898575
216,frost,4,SM 10000,0.4707,-2.5866637
217,fog,4,SM 10000,0.68108,-1.3478494
218,brightness,4,SM 10000,0.68918,-1.3182112
219,contrast,4,SM 10000,0.66738,-1.4221959
220,elastic_transform,4,SM 10000,0.63772,-1.5822068
221,pixelate,4,SM 10000,0.52438,-2.1765091
222,jpeg_compression,4,SM 10000,0.59748,-1.7882434
223,gaussian_blur,4,SM 10000,0.30932,-3.675316
224,gaussian_noise,5,SM 10000,0.2497,-4.170772
225,shot_noise,5,SM 10000,0.29848,-3.7872102
226,impulse_noise,5,SM 10000,0.23854,-4.2904844
227,defocus_blur,5,SM 10000,0.23006,-4.307876
228,glass_blur,5,SM 10000,0.16802,-4.855642
229,motion_blur,5,SM 10000,0.54402,-2.064264
230,zoom_blur,5,SM 10000,0.58428,-1.8423909
231,snow,5,SM 10000,0.44646,-2.7197125
232,frost,5,SM 10000,0.41784,-2.9522896
233,fog,5,SM 10000,0.63886,-1.5627894
234,brightness,5,SM 10000,0.65942,-1.4593269
235,contrast,5,SM 10000,0.54586,-2.058653
236,elastic_transform,5,SM 10000,0.4875,-2.4406292
237,pixelate,5,SM 10000,0.43468,-2.7498767
238,jpeg_compression,5,SM 10000,0.50432,-2.3080122
239,gaussian_blur,5,SM 10000,0.15126,-5.100789
240,gaussian_noise,1,SM 100000,0.67684,-1.3767084
241,shot_noise,1,SM 100000,0.6759,-1.3821796
242,impulse_noise,1,SM 100000,0.62308,-1.6436583
243,defocus_blur,1,SM 100000,0.6687,-1.4183651
244,glass_blur,1,SM 100000,0.64918,-1.5042115
245,motion_blur,1,SM 100000,0.72676,-1.1416875
246,zoom_blur,1,SM 100000,0.6854,-1.3291405
247,snow,1,SM 100000,0.63836,-1.5695021
248,frost,1,SM 100000,0.65854,-1.4804524
249,fog,1,SM 100000,0.7178,-1.1692349
250,brightness,1,SM 100000,0.73356,-1.1055303
251,contrast,1,SM 100000,0.72912,-1.1276743
252,elastic_transform,1,SM 100000,0.68638,-1.3276137
253,pixelate,1,SM 100000,0.7245,-1.1454403
254,jpeg_compression,1,SM 100000,0.69722,-1.2676412
255,gaussian_blur,1,SM 100000,0.72508,-1.1484289
256,gaussian_noise,2,SM 100000,0.62292,-1.6470397
257,shot_noise,2,SM 100000,0.61724,-1.6811124
258,impulse_noise,2,SM 100000,0.55834,-1.9874427
259,defocus_blur,2,SM 100000,0.59696,-1.7845199
260,glass_blur,2,SM 100000,0.54672,-2.0503168
261,motion_blur,2,SM 100000,0.70712,-1.2344626
262,zoom_blur,2,SM 100000,0.65536,-1.4665884
263,snow,2,SM 100000,0.54294,-2.1094308
264,frost,2,SM 100000,0.5624,-2.0159419
265,fog,2,SM 100000,0.71154,-1.2058816
266,brightness,2,SM 100000,0.72422,-1.1480769
267,contrast,2,SM 100000,0.72246,-1.1545492
268,elastic_transform,2,SM 100000,0.51486,-2.3824894
269,pixelate,2,SM 100000,0.712,-1.2037661
270,jpeg_compression,2,SM 100000,0.67346,-1.3789831
271,gaussian_blur,2,SM 100000,0.59736,-1.7802223
272,gaussian_noise,3,SM 100000,0.53408,-2.1399295
273,shot_noise,3,SM 100000,0.54036,-2.1222732
274,impulse_noise,3,SM 100000,0.50588,-2.3124723
275,defocus_blur,3,SM 100000,0.44026,-2.7129283
276,glass_blur,3,SM 100000,0.35014,-3.3150024
277,motion_blur,3,SM 100000,0.66416,-1.4279425
278,zoom_blur,3,SM 100000,0.6366,-1.5600518
279,snow,3,SM 100000,0.5348,-2.1595151
280,frost,3,SM 100000,0.48418,-2.4997702
281,fog,3,SM 100000,0.6959,-1.2704753
282,brightness,3,SM 100000,0.71082,-1.2166933
283,contrast,3,SM 100000,0.70852,-1.2111288
284,elastic_transform,3,SM 100000,0.68132,-1.3497101
285,pixelate,3,SM 100000,0.65554,-1.4657793
286,jpeg_compression,3,SM 100000,0.6554,-1.4698493
287,gaussian_blur,3,SM 100000,0.43424,-2.7456598
288,gaussian_noise,4,SM 100000,0.41292,-2.9158049
289,shot_noise,4,SM 100000,0.3989,-3.0228653
290,impulse_noise,4,SM 100000,0.3765,-3.183888
291,defocus_blur,4,SM 100000,0.32582,-3.5302005
292,glass_blur,4,SM 100000,0.27484,-3.8879392
293,motion_blur,4,SM 100000,0.59916,-1.7652284
294,zoom_blur,4,SM 100000,0.61052,-1.7026103
295,snow,4,SM 100000,0.4496,-2.6849525
296,frost,4,SM 100000,0.47154,-2.582443
297,fog,4,SM 100000,0.68152,-1.3463656
298,brightness,4,SM 100000,0.68944,-1.3163636
299,contrast,4,SM 100000,0.66804,-1.4189404
300,elastic_transform,4,SM 100000,0.6372,-1.5785898
301,pixelate,4,SM 100000,0.52664,-2.172294
302,jpeg_compression,4,SM 100000,0.59732,-1.7861682
303,gaussian_blur,4,SM 100000,0.30928,-3.674091
304,gaussian_noise,5,SM 100000,0.2499,-4.1673126
305,shot_noise,5,SM 100000,0.2991,-3.7831833
306,impulse_noise,5,SM 100000,0.23956,-4.2857356
307,defocus_blur,5,SM 100000,0.23086,-4.3022585
308,glass_blur,5,SM 100000,0.1687,-4.8494368
309,motion_blur,5,SM 100000,0.54552,-2.0565536
310,zoom_blur,5,SM 100000,0.58496,-1.83856
311,snow,5,SM 100000,0.44676,-2.7163332
312,frost,5,SM 100000,0.41844,-2.947593
313,fog,5,SM 100000,0.63882,-1.5605428
314,brightness,5,SM 100000,0.65914,-1.4566847
315,contrast,5,SM 100000,0.54664,-2.0553625
316,elastic_transform,5,SM 100000,0.48912,-2.4347765
317,pixelate,5,SM 100000,0.43568,-2.7462277
318,jpeg_compression,5,SM 100000,0.50462,-2.305426
